bdsk-url-1,year,volume,url,title,pages,number,journal,isbn,id,doi,date-modified,date-added,date,author,Type of product,ID,publisher,bdsk-url-2,note,keywords,eprint,abstract,issn,urldate,month,language,booktitle,volumne,version,editor,edition,copyright,author+an,address,pmid,type
https://doi.org/10.1017/S0025315406013579,2006,86,,A method to measure three-dimensional substratum rugosity for ecological studies: an example from the date-mussel fishery desertification in the north-western {Mediterranean},689,04,Journal of the Marine Biological Association of the UK,,,10.1017/S0025315406013579,,,,"Parravicini, Valeriano and {\textbf{Rovere}}, Alessio and Donato, Marco and Morri, Carlo and Bianchi, Carlo Nike",article,parravicini_method_2006,,,ISBN: 0025-3154 Publisher: Cambridge Univ Press,Biology,,"The impact of date-mussel fishery on substratum rugosity was evaluated at Capo Noli and Isola di Bergeggi (Savona, north-western Italian coast) in the summer of 2004. A new measure of substratum rugosity was used as a surface-dependent index of complexity. The results were compared between impact and control sites using two-way analysis of variance and suggested that the mussel fishery reduces substratum complexity.",0025-3154,,,,,,,,,All rights reserved,,,,
,2006,13,,Surveys of the {Punta} {Manara} shoals: an ecotipological approach,210--211,,Biologia Marina Mediterranea,,,,2024-02-21 15:46:48 +0100,,,"{\textbf{Rovere}}, Alessio and Parravicini, Valeriano and M, Donato and Riva, C and Diviacco, G and Coppo, S and Firpo, Marco and Bianchi, C N",periodical,Rovere_surveys_2006,,,,,,,,,,,,,,,,All rights reserved,,,,
,2007,14,,Preliminary study on the coralligenousof the {Bergeggi} area: typologies and hypoteses on its maintenance,162--163,2,Biologia Marina Mediterranea,,,,2024-02-21 15:48:19 +0100,,,"Parravicini, Valeriano and Donato, Marco and {\textbf{Rovere}}, Alessio and Montefalcone, Monica and Albertelli, G and Bianchi, C N",periodical,parravicini_preliminary_2007,,,,,,,,,,,,,,Societ{\`a} Italiana di Biologia Marina,,All rights reserved,,,,
,2007,14,,"Nature emergencies in the marine protected area of {Bergeggi} ({Ligurian} {Sea}): integrating biological, ecological and geomorphological aspects",86--87,2,Biologia Marina Mediterranea,,,,2024-02-21 15:48:05 +0100,,,"{\textbf{Rovere}}, Alessio and Parravicini, Valeriano and Firpo, Marco and Morri, Carla and Albertelli, G and Bianchi, C N",periodical,Rovere_nature_2007,,,,,,,,,,,,,,,,All rights reserved,,,,
,2008,21,,Le variazioni ambientali nell'area di {Vado} {Ligure} dal {Neolitico} ad oggi,433--456,2,Il Quaternario,,,,2024-02-21 15:49:17 +0100,,,"Carobene, Luigi and Firpo, Marco and {\textbf{Rovere}}, Alessio",periodical,carobene_variazioni_2008,,,,,,"Seismic profiles and 13 drilling cores were studied in the Vado Ligure Gulf, in front of the Segno river delta. The study area is located 4-5 Km SW from Savona, along the western Ligurian coast. The Holocene transgression highlighted by the surveys was related to the variations of the landscape in the last 8-9000 years; this period corresponds to the beginning and the development of the Neolithic. Subaerial (Fig. 1) and marine (Fig. 2) morphological features were taken into account in order to compare the recent evolution of the study area with the most important Quaternary events, such as eustatism and tectonic activity. These two events are documented by 5 orders of marine terraces comprised between 185 and 35 m a.s.l.; this allowed us to conclude that the tectonic rising rates of the study area during Quaternary have been low, and successively decreased. This evidence supported the assertion that the study area has been substantially stable during Holocene. Moreover, systems of Quaternary faults have conditioned the direction of crests and the drainage patterns. The cores, 10 of which were made in the marine part of the study area, allowed us to recognize the substratum, that is constituted by lower Pliocene marly clays, by the continental deposits referable to the low eustatic stand (W{\""u}rm) and by the marine sedimentary body of the Holocene transgression (Fig. 8). The marine deposits of the Tyrrhenian transgression (Stage 5.5) are absent. 25 C14 datings provided calibrated ages comprised between 8225 and 510 yrs BP; the data were used to obtain the chronostrati- graphy of the marine deposit (Fig. 12). The correlation of the results obtained by the seismic profile analysis (Fig. 4), by the sedimento- logical study of the drilling cores (Fig. 5) and by the C14 datings allowed us to recognize a transgressive phase, which ended 6000 yrs BP; a period of relative eustatic standing (from 6000 to 5000 yrs BP); a subsequent period of progradation (from 5000 to 1800 yrs BP) and, finally, the period of the interglacial high eustatic stand that continues to the present (Fig. 14). The whole sedimentary marine body reaches a thickness of about 14 meters. The various stages of the eustatic sea level rise were reconstructed along a geologic profile that continues landward. The seismic profile was documented by the alignment of 9 cores; this allowed us to recognize the shorelines dated 8000 BP (-12 m), 7000 BP (-6,5 m), 6000 BP (-3 m), and 5000 BP (-1,5 m) (Fig. 14). On the basis of these data an eustatic curve was obtained (Fig.15) and the large modifications of the landscape caused by the Holocene transgression were recognised. About 9000 yrs BP a large surface with a low inclination spread landward for at least 1 Km; taking into account the improvement of the clima- te, this plain could be used for agriculture. However, in the space of 3000 years, the plain was flooded by the rising sea level, while the valley floor of the Segno river became inhospitable, because it began to be flooded by continuous inundations. After a period of relati- ve stability, that had lasted since 5000 yrs BP, the continued accumulation of debris along the coast caused the progradation of both the emerged and submerged beaches and the contemporaneous aggradation of the alluvial plain of the Segno river. This drove the ancient inhabitants to live and build mainly on the hillsides, mainly in the terraced surfaces. Starting from 8000 yrs BP till present, the coastline became again relatively stable; in the sea bottom the deposition of the sedimentary sequence relative to the last eustatic interglacial peak began. The alluvial plain of the Segno river became stable again or useful for agriculture, even if not in a permanent way. The reduction of space and the probable increase in the population lead to the use of deforestation; this started with the washing of the hillsides and the erosion of soils, as documented by the thick silty-clayey body that rapidly formed in the marine area.",,,,,,,,,,All rights reserved,,,,
,2008,32,,Abiotic and biotic links work two ways: effects on the deposit at the cliff foot induced by mechanical action of date mussel harvesting ({Lithophaga} lithophaga),333--339,2,Estuaries and Coasts,,,,,,,"{\textbf{Rovere}}, Alessio and {\underline{Bellati}}, Stefano and Parravicini, Valeriano and Firpo, Marco and Morri, Carla and Bianchi, Carlo Nike",article,Rovere_abiotic_2008,,,Publisher: Springer,,,"Abstract The existence of linkages between ecological and geomorphological processes and the influence of human activities both on the biota and on geomorphology is well known for terrestrial environments, while it has been seldom reported for submerged ones.",,,,,,,,,,All rights reserved,,,,
,2010,11,,Spatial distribution of the paleo-shorelines in {Lesvos} {Island}. {Evidence} of differential coastal uplift in the area?,53--54,,,,,,2024-02-21 15:50:28 +0100,,,"Vacchi, Matteo and {\textbf{Rovere}}, Alessio and Zouros, Nickolas and Firpo, Marco",periodical,vacchi_spatial_2010,,,Issue: 1,,,,,,,,Rendiconti {Online} {Societa} {Geologica} {Italiana},,,,,All rights reserved,,,,
,2010,11,,"Submerged shorelines off the {Gallinara} {Island} ({Ligurian} {Sea}, {NW} {Mediterranean})",46--47,,,,,,2024-02-21 15:50:43 +0100,,,"{\textbf{Rovere}}, Alessio and Vacchi, Matteo and Firpo, Marco",periodical,Rovere_submerged_2010,,,ISSN: 20358008 Issue: 1,"Ligurian sea, Marine landforms, Underwater geomorphology",,,,,,,Rendiconti {Online} {Societa} {Geologica} {Italiana},,,,,All rights reserved,,,,
,2010,17,,Decadal evolution of a coralligenous ecosystem under the influence of human impacts and climate change,59--62,1,Biologia Marina Mediterranea,,,,2024-02-21 15:49:36 +0100,,,"Roghi, F and Parravicini, Valeriano and Montefalcone, Monica and {\textbf{Rovere}}, Alessio and Morri, Carla and Peirano, A and Firpo, Marco and Bianchi, C N and Salvati, E",periodical,roghi_decadal_2010,,,,,,,,,,,,,,,,All rights reserved,,,,
,2010,35,,Bringing geoheritage underwater: methodological approaches to evaluation and mapping,65--80,,Mapping Geoheritage,,,,2024-02-21 15:50:14 +0100,,,"{\textbf{Rovere}}, Alessio and Vacchi, Matteo and Parravicini, Valeriano and Morri, Carla and Bianchi, Carlo Nike and Firpo, Marco",periodical,Rovere_bringing_2010-1,,,ISBN: 9782940368105,,,"The valorisation of the natural heritage (here intended as the complex of biotic and abiotic elements of nature worthy of conservation) assumed a growing importance in the last years, leading to place biodiversity and geodiversity concepts side by side (Brilha, 2002). This in turn channelled efforts to protect not only biotopes, but also the associated physical landscape or environment through the identification of geo- sites or geomorphosites (Panizza \& Piacente, 1993; Panizza, 2001; Reynard, 2004, 2005). In the field of abiotic heritage evaluation, various methods have been pro- posed for the recognition of scientific and additional values of relevant geological and geomorphological sites (Panizza, 2001; Coratza \& Giusti, 2005; Pereira et al., 2007; Reynard et al., 2007; Serrano \& Ruiz Fla{\~n}o, 2007; Zouros, 2007). Natural heri- tage studies cover most types of environments, from mountain and subterranean areas to plains and coasts. Nevertheless, while many approaches to valorisation of natural heritage are reported for emerged shorelines (e.g. Carobene \& Firpo, 2005; Zouros, 2007), research on coastal submerged areas (Orr{\`u} \& Ulzega, 1988; Orr{\`u} et al., 2005) still lacks common schemes and approaches when compared with studies dealing with marine ecological resources (Bianchi,",9782940368105,,,,,,,,,All rights reserved,,,,
